,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Charge,Intl Mins,CustServ Calls,Churn?
2386,1,0,0,202.0,123,34.34,184.3,15.67,7.4,2,True.
2387,0,1,32,209.5,108,35.62,109.6,9.32,9.1,6,True.
2388,0,0,0,297.9,141,50.64,238.1,20.24,8.9,1,True.
2389,0,0,0,212.8,102,36.18,189.8,16.13,10.6,0,True.
2397,0,0,0,294.9,71,50.13,192.8,16.39,13.2,1,True.
2401,1,0,0,239.7,87,40.75,281.7,23.94,11.4,1,True.
2402,0,1,33,143.0,101,24.31,212.2,18.04,15.3,5,True.
2405,0,1,29,201.3,130,34.22,203.7,17.31,6.4,1,True.
2407,1,1,31,203.5,82,34.6,200.3,17.03,13.4,1,True.
2412,0,0,0,326.3,112,55.47,165.1,14.03,7.5,1,True.
2415,0,0,0,147.1,119,25.01,161.0,13.69,9.0,5,True.
2419,0,0,0,239.9,120,40.78,261.6,22.24,8.9,2,True.
2420,1,0,0,159.9,94,27.18,179.9,15.29,11.6,2,True.
2421,0,0,0,197.8,66,33.63,133.9,11.38,10.9,4,True.
2428,0,0,0,81.7,123,13.89,210.2,17.87,11.3,6,True.
2432,0,0,0,109.0,88,18.53,259.3,22.04,13.3,4,True.
2437,0,1,31,109.6,108,18.63,249.3,21.19,8.3,4,True.
2451,0,0,0,279.5,118,47.52,203.2,17.27,10.7,2,True.
2468,1,1,41,146.8,128,24.96,285.6,24.28,4.3,1,True.
2472,0,0,0,137.8,120,23.43,225.8,19.19,10.2,1,True.
2479,1,1,29,162.3,91,27.59,279.3,23.74,11.7,3,True.
2489,0,0,0,167.8,72,28.53,211.0,17.94,10.5,4,True.
2493,0,0,0,92.6,95,15.74,161.9,13.76,11.3,5,True.
2515,0,0,0,123.1,88,20.93,213.9,18.18,12.0,5,True.
2526,1,0,0,115.0,65,19.55,122.3,10.4,6.4,0,True.
2533,0,0,0,184.7,60,31.4,262.0,22.27,12.3,2,True.
2535,0,0,0,113.0,108,19.21,169.2,14.38,9.2,2,True.
2536,0,0,0,294.2,100,50.01,232.5,19.76,9.0,0,True.
2539,1,1,28,211.2,117,35.9,312.5,26.56,10.7,3,True.
2542,0,0,0,259.4,116,44.1,269.7,22.92,9.5,1,True.
2567,0,0,0,247.2,116,42.02,303.7,25.81,9.3,2,True.
2572,0,0,0,317.8,60,54.03,152.9,13.0,10.4,1,True.
2573,0,0,0,312.0,112,53.04,180.0,15.3,12.8,1,True.
2575,0,0,0,131.6,95,22.37,179.3,15.24,15.5,1,True.
2581,0,0,0,123.2,104,20.94,190.0,16.15,12.9,4,True.
2591,0,0,0,231.2,141,39.3,267.8,22.76,8.8,1,True.
2594,1,0,0,345.3,81,58.7,203.4,17.29,11.8,1,True.
2595,0,0,0,264.9,80,45.03,281.2,23.9,8.4,1,True.
2599,0,0,0,225.1,90,38.27,279.5,23.76,8.8,0,True.
2602,1,0,0,162.4,131,27.61,167.0,14.2,11.4,2,True.
2606,0,0,0,224.2,89,38.11,314.9,26.77,16.1,1,True.
2614,1,0,0,298.4,78,50.73,270.5,22.99,12.2,0,True.
2619,1,1,35,157.5,109,26.78,189.6,16.12,11.1,3,True.
2624,0,0,0,226.9,106,38.57,182.2,15.49,11.6,0,True.
2629,0,1,32,322.4,92,54.81,283.2,24.07,6.7,1,True.
2645,1,0,0,246.4,110,41.89,182.0,15.47,12.1,2,True.
2647,0,0,0,288.0,120,48.96,255.8,21.74,13.4,0,True.
2660,0,0,0,301.5,136,51.26,257.7,21.9,13.4,4,True.
2662,1,0,0,99.6,108,16.93,308.7,26.24,13.7,2,True.
2664,1,1,26,198.8,115,33.8,166.6,14.16,14.4,1,True.
2666,1,0,0,255.9,128,43.5,140.9,11.98,12.1,1,True.
2672,1,0,0,277.9,123,47.24,155.8,13.24,9.2,0,True.
2673,0,0,0,224.9,105,38.23,250.0,21.25,6.7,3,True.
2677,0,0,0,308.6,139,52.46,150.8,12.82,7.3,4,True.
2681,0,0,0,144.8,126,24.62,200.6,17.05,13.3,0,True.
2687,1,1,29,260.8,81,44.34,163.7,13.91,17.0,1,True.
2694,0,0,0,240.7,82,40.92,269.4,22.9,10.1,0,True.
2696,0,0,0,314.1,86,53.4,222.4,18.9,12.3,3,True.
2700,0,0,0,255.1,124,43.37,230.6,19.6,8.5,3,True.
2708,0,0,0,291.2,104,49.5,234.2,19.91,8.9,1,True.
2710,0,0,0,261.8,69,44.51,245.0,20.83,14.7,0,True.
2724,0,0,0,279.1,124,47.45,180.5,15.34,9.5,2,True.
2731,0,0,0,245.2,91,41.68,217.2,18.46,13.9,0,True.
2732,1,0,0,216.2,106,36.75,363.7,30.91,16.9,5,True.
2735,1,1,26,169.0,104,28.73,188.8,16.05,13.3,0,True.
2745,0,1,40,105.0,78,17.85,180.6,15.35,10.2,2,True.
2747,0,0,0,274.0,92,46.58,231.8,19.7,6.2,0,True.
2760,1,0,0,237.3,103,40.34,176.7,15.02,14.2,0,True.
2772,0,0,0,154.7,84,26.3,177.8,15.11,5.9,4,True.
2773,0,1,34,247.2,105,42.02,225.5,19.17,6.1,2,True.
2774,1,1,32,218.4,93,37.13,236.7,20.12,13.2,0,True.
2784,0,0,0,239.1,88,40.65,243.5,20.7,10.9,3,True.
2785,0,0,0,175.7,109,29.87,211.8,18.0,9.2,5,True.
2786,0,1,29,111.2,90,18.9,263.5,22.4,9.0,6,True.
2794,1,0,0,258.0,112,43.86,246.5,20.95,10.9,0,True.
2800,1,0,0,251.4,118,42.74,196.6,16.71,11.0,0,True.
2816,0,0,0,263.7,113,44.83,186.5,15.85,18.3,1,True.
2819,0,0,0,167.4,68,28.46,143.8,12.22,10.3,0,True.
2824,0,0,0,324.7,48,55.2,236.4,20.09,13.1,0,True.
2827,0,0,0,129.2,71,21.96,214.1,18.2,10.3,5,True.
2828,1,0,0,125.5,106,21.34,128.9,10.96,6.3,4,True.
2839,0,0,0,266.0,97,45.22,214.6,18.24,14.2,2,True.
2865,0,1,32,90.0,87,15.3,276.3,23.49,8.6,2,True.
2868,1,0,0,162.8,118,27.68,229.6,19.52,13.6,0,True.
2874,0,0,0,296.0,93,50.32,226.4,19.24,12.3,0,True.
2882,1,0,0,124.5,134,21.17,141.2,12.0,11.4,2,True.
2884,0,0,0,285.7,44,48.57,167.5,14.24,8.7,1,True.
2889,0,0,0,271.1,101,46.09,237.4,20.18,8.4,1,True.
2900,0,0,0,108.6,108,18.46,209.9,17.84,7.9,1,True.
2901,0,1,17,89.8,88,15.27,233.2,19.82,9.3,4,True.
2908,0,0,0,279.3,104,47.48,201.6,17.14,7.9,2,True.
2924,0,0,0,276.9,105,47.07,246.9,20.99,10.3,1,True.
2925,0,0,0,163.4,134,27.78,240.1,20.41,11.6,2,True.
2926,0,0,0,287.4,116,48.86,235.3,20.0,5.0,4,True.
2934,0,0,0,149.0,73,25.33,131.0,11.14,8.6,2,True.
2936,0,0,0,288.8,86,49.1,175.9,14.95,9.5,0,True.
2942,1,0,0,287.4,118,48.86,259.6,22.07,10.0,1,True.
2947,0,0,0,245.8,116,41.79,286.7,24.37,9.0,1,True.
2950,0,0,0,117.8,100,20.03,199.2,16.93,11.8,0,True.
2952,0,0,0,242.2,87,41.17,226.1,19.22,8.2,5,True.
2958,0,0,0,128.6,115,21.86,216.2,18.38,6.3,6,True.
2960,0,0,0,182.1,106,30.96,134.9,11.47,10.0,5,True.
2961,0,1,36,168.0,81,28.56,163.2,13.87,8.0,6,True.
2964,0,0,0,256.4,44,43.59,214.5,18.23,7.9,3,True.
2968,0,0,0,234.9,136,39.93,270.8,23.02,13.9,1,True.
2971,1,0,0,233.5,81,39.7,187.7,15.95,9.6,0,True.
2972,0,1,35,197.3,134,33.54,141.1,11.99,10.1,2,True.
2979,0,0,0,135.7,107,23.07,208.4,17.71,8.8,7,True.
2980,0,0,0,225.9,86,38.4,275.6,23.43,14.3,3,True.
2987,1,0,0,122.3,83,20.79,118.8,10.1,13.7,3,True.
2989,1,0,0,115.1,114,19.57,211.3,17.96,13.8,2,True.
2994,0,0,0,227.9,130,38.74,302.6,25.72,5.5,1,True.
3002,0,0,0,266.1,91,45.24,225.2,19.14,8.9,3,True.
3019,0,0,0,266.7,105,45.34,158.2,13.45,13.8,3,True.
3023,0,1,35,110.5,101,18.79,208.3,17.71,13.9,4,True.
3035,0,0,0,85.7,112,14.57,221.6,18.84,11.6,4,True.
3045,0,0,0,272.7,74,46.36,224.9,19.12,10.5,2,True.
3050,0,0,0,158.4,92,26.93,188.0,15.98,13.5,4,True.
3064,0,0,0,271.8,129,46.21,237.2,20.16,8.7,4,True.
3070,0,0,0,154.5,122,26.27,214.2,18.21,12.0,3,True.
3072,0,0,0,305.1,106,51.87,188.0,15.98,8.5,0,True.
3079,0,0,0,131.5,99,22.36,174.8,14.86,7.9,5,True.
3093,0,0,0,226.3,95,38.47,274.3,23.32,8.2,2,True.
3112,0,0,0,139.3,89,23.68,192.3,16.35,9.3,7,True.
3113,0,0,0,291.6,99,49.57,221.1,18.79,14.0,2,True.
3125,0,0,0,169.7,115,28.85,141.4,12.02,10.5,4,True.
3127,0,0,0,113.3,96,19.26,197.9,16.82,11.7,4,True.
3132,0,0,0,322.3,100,54.79,230.4,19.58,7.8,2,True.
3144,0,0,0,138.1,115,23.48,158.2,13.45,10.3,5,True.
3148,1,0,0,205.9,97,35.0,277.4,23.58,11.0,0,True.
3151,0,0,0,221.9,112,37.72,278.2,23.65,7.1,0,True.
3157,1,0,0,143.2,60,24.34,179.5,15.26,6.2,4,True.
3166,0,0,0,247.5,85,42.08,225.4,19.16,10.2,2,True.
3168,0,0,0,225.9,110,38.4,299.1,25.42,11.2,1,True.
3169,0,0,0,103.5,115,17.6,117.9,10.02,12.0,4,True.
3189,1,0,0,246.8,110,41.96,206.3,17.54,13.2,0,True.
3190,0,0,0,174.7,151,29.7,148.0,12.58,15.8,6,True.
3191,0,0,0,240.0,83,40.8,134.1,11.4,9.3,0,True.
3205,0,0,0,294.7,90,50.1,294.6,25.04,10.8,1,True.
3209,1,1,24,125.7,92,21.37,275.9,23.45,14.2,3,True.
3224,0,0,0,226.4,101,38.49,276.8,23.53,12.3,3,True.
3226,0,0,0,264.5,117,44.97,194.0,16.49,7.5,2,True.
3238,0,0,0,255.1,93,43.37,266.9,22.69,8.8,3,True.
3241,1,0,0,248.7,118,42.28,172.3,14.65,11.3,1,True.
3243,1,0,0,122.2,112,20.77,131.7,11.19,10.3,5,True.
3246,1,1,44,103.2,117,17.54,236.3,20.09,11.9,0,True.
3247,0,0,0,138.4,104,23.53,158.9,13.51,3.9,4,True.
3255,1,0,0,286.2,61,48.65,187.2,15.91,11.0,2,True.
3265,0,0,0,266.9,83,45.37,229.7,19.52,11.0,3,True.
3268,0,0,0,289.1,100,49.15,233.8,19.87,12.7,2,True.
3272,0,0,0,295.0,141,50.15,223.6,19.01,12.9,2,True.
3280,0,0,0,107.3,140,18.24,238.2,20.25,10.0,4,True.
3287,0,1,42,199.5,119,33.92,135.0,11.48,10.9,4,True.
3291,1,1,22,172.1,119,29.26,223.6,19.01,13.9,1,True.
3301,0,0,0,280.0,113,47.6,202.2,17.19,10.4,0,True.
3304,1,0,0,186.1,114,31.64,198.6,16.88,13.8,4,True.
3320,1,0,0,140.0,101,23.8,196.4,16.69,9.7,4,True.
3322,0,0,0,321.1,105,54.59,265.5,22.57,11.5,4,True.
3323,0,0,0,118.4,126,20.13,249.3,21.19,13.6,5,True.
1566,0,1,38,236.6,69,40.22,197.5,16.79,9.5,2,False.
3200,1,0,0,107.2,98,18.22,86.8,7.38,9.7,1,False.
891,0,0,0,110.9,91,18.85,158.5,13.47,6.2,1,False.
2523,0,0,0,144.3,116,24.53,156.4,13.29,7.8,3,False.
2151,0,0,0,137.6,106,23.39,143.5,12.2,9.6,2,False.
819,0,0,0,146.3,133,24.87,202.7,17.23,13.1,1,False.
1609,0,0,0,169.6,96,28.83,234.7,19.95,11.2,0,False.
1009,0,0,0,181.4,111,30.84,167.7,14.25,11.3,3,False.
2959,0,0,0,233.3,65,39.66,209.8,17.83,9.1,1,False.
3292,0,0,0,203.8,85,34.65,87.8,7.46,11.7,1,False.
2005,0,0,0,133.4,102,22.68,204.6,17.39,11.1,1,False.
435,0,1,29,240.4,80,40.87,118.9,10.11,11.2,1,False.
567,1,0,0,216.0,73,36.72,188.2,16.0,3.6,2,False.
2289,1,1,23,245.5,54,41.74,292.7,24.88,10.8,1,False.
1356,0,0,0,136.1,120,23.14,204.2,17.36,11.3,1,False.
1524,0,1,19,136.8,113,23.26,179.5,15.26,12.5,2,False.
2569,0,0,0,166.9,98,28.37,221.8,18.85,12.8,3,False.
2085,0,0,0,138.5,110,23.55,153.2,13.02,11.1,1,False.
167,0,0,0,202.0,102,34.34,243.2,20.67,10.9,1,False.
317,0,1,29,117.8,66,20.03,256.8,21.83,7.6,3,False.
1397,0,0,0,0.0,0,0.0,192.1,16.33,7.2,1,False.
2977,0,0,0,195.1,100,33.17,148.8,12.65,6.7,0,False.
2683,0,0,0,221.8,84,37.71,166.0,14.11,13.2,1,False.
2292,0,0,0,134.1,112,22.8,195.1,16.58,10.5,2,False.
604,0,0,0,169.9,144,28.88,225.2,19.14,11.4,1,False.
1966,0,0,0,169.4,102,28.8,184.9,15.72,2.0,1,False.
2890,0,0,0,240.8,104,40.94,144.5,12.28,11.6,0,False.
942,0,0,0,226.2,88,38.45,140.3,11.93,6.4,0,False.
862,0,1,38,163.6,132,27.81,146.7,12.47,13.1,3,False.
535,0,0,0,48.4,101,8.23,281.1,23.89,18.2,1,False.
2775,0,1,24,227.5,81,38.68,234.9,19.97,9.0,1,False.
1613,0,0,0,194.6,114,33.08,232.8,19.79,3.8,3,False.
821,0,0,0,105.8,110,17.99,43.9,3.73,13.1,0,False.
1436,0,1,26,226.4,117,38.49,234.7,19.95,10.8,1,False.
1448,0,0,0,242.5,110,41.23,162.3,13.8,7.8,4,False.
3211,0,0,0,70.9,134,12.05,134.5,11.43,12.0,2,False.
296,0,0,0,85.7,83,14.57,247.7,21.05,10.1,2,False.
1065,0,1,29,239.5,82,40.72,203.8,17.32,9.9,0,False.
2962,0,0,0,251.6,88,42.77,175.1,14.88,5.4,1,False.
374,0,0,0,179.2,77,30.46,210.7,17.91,9.2,2,False.
806,0,0,0,174.4,120,29.65,156.3,13.29,10.2,0,False.
3085,1,0,0,111.9,55,19.02,223.0,18.96,10.0,3,False.
409,0,0,0,187.9,110,31.94,197.0,16.75,4.8,2,False.
1773,1,1,40,221.6,79,37.67,157.1,13.35,11.5,1,False.
316,0,1,28,121.0,105,20.57,270.4,22.98,7.7,2,False.
2108,0,0,0,144.2,87,24.51,212.2,18.04,9.5,0,False.
2456,0,0,0,232.5,74,39.53,181.8,15.45,10.4,4,False.
1195,0,0,0,194.8,97,33.12,235.3,20.0,11.0,1,False.
852,0,0,0,217.7,91,37.01,273.5,23.25,9.6,3,False.
0,0,1,25,265.1,110,45.07,197.4,16.78,10.0,1,False.
1366,0,0,0,89.5,66,15.22,179.3,15.24,12.3,3,False.
662,0,0,0,211.2,80,35.9,237.7,20.2,12.3,0,False.
2929,0,0,0,185.0,84,31.45,232.5,19.76,14.9,3,False.
3155,0,0,0,114.8,94,19.52,150.0,12.75,9.6,2,False.
1033,0,0,0,198.6,111,33.76,213.9,18.18,10.6,2,False.
3060,0,0,0,212.1,98,36.06,189.4,16.1,8.4,3,False.
2129,0,1,23,149.6,96,25.43,239.8,20.38,7.4,2,False.
2196,0,1,10,182.9,54,31.09,292.4,24.85,11.5,0,False.
2911,1,0,0,256.5,87,43.61,222.1,18.88,13.0,1,False.
112,0,0,0,161.0,117,27.37,190.9,16.23,12.1,4,False.
2344,0,0,0,183.4,98,31.18,281.3,23.91,8.2,1,False.
1536,0,0,0,69.4,79,11.8,190.8,16.22,8.9,0,False.
2885,0,0,0,190.9,44,32.45,161.4,13.72,8.4,1,False.
1988,0,0,0,150.2,70,25.53,185.7,15.78,12.1,1,False.
3330,0,0,0,180.8,109,30.74,288.8,24.55,14.1,2,False.
612,0,0,0,156.4,108,26.59,233.4,19.84,7.7,4,False.
2663,0,0,0,169.8,123,28.87,183.1,15.56,12.7,2,False.
2623,0,0,0,258.8,85,44.0,129.5,11.01,10.9,2,False.
1170,0,0,0,199.3,104,33.88,224.2,19.06,15.2,0,False.
1745,0,0,0,226.7,94,38.54,168.4,14.31,10.2,0,False.
1629,0,0,0,122.5,145,20.83,273.3,23.23,8.0,2,False.
3201,0,1,32,211.9,120,36.02,202.9,17.25,8.8,1,False.
2475,0,0,0,175.2,74,29.78,151.7,12.89,5.3,1,False.
1928,0,0,0,103.1,70,17.53,275.0,23.38,11.2,1,False.
2740,0,0,0,189.8,122,32.27,173.7,14.76,10.3,0,False.
213,0,1,31,167.6,139,28.49,113.0,9.61,12.2,1,False.
1396,1,1,27,188.9,124,32.11,160.9,13.68,11.5,4,False.
583,0,0,0,150.5,75,25.59,193.1,16.41,10.3,1,False.
707,0,1,42,165.3,97,28.1,223.5,19.0,7.6,3,False.
2881,0,1,20,146.1,98,24.84,277.4,23.58,6.2,1,False.
1952,0,0,0,188.5,77,32.05,182.0,15.47,6.1,1,False.
2153,0,0,0,89.7,80,15.25,179.8,15.28,9.5,2,False.
541,0,1,29,209.9,77,35.68,158.0,13.43,6.6,0,False.
527,0,1,22,40.9,126,6.95,133.4,11.34,11.9,0,False.
3117,0,0,0,159.8,143,27.17,210.1,17.86,13.1,2,False.
2199,0,0,0,241.2,105,41.0,174.3,14.82,8.5,2,False.
608,0,0,0,187.8,94,31.93,248.6,21.13,10.6,0,False.
327,0,1,33,239.2,109,40.66,235.5,20.02,9.5,1,False.
1607,0,1,19,132.7,94,22.56,204.6,17.39,12.9,3,False.
2077,0,0,0,241.7,137,41.09,135.8,11.54,13.1,0,False.
714,0,1,22,175.9,70,29.9,211.7,17.99,7.3,2,False.
2837,0,0,0,203.3,70,34.56,228.9,19.46,14.3,1,False.
1761,0,1,28,235.6,124,40.05,236.8,20.13,7.7,1,False.
2364,0,1,33,161.8,73,27.51,273.0,23.21,13.7,0,False.
1109,0,0,0,140.4,112,23.87,187.1,15.9,7.9,0,False.
2923,0,0,0,99.4,62,16.9,275.0,23.38,16.7,2,False.
602,0,0,0,202.8,109,34.48,165.8,14.09,4.6,1,False.
628,0,0,0,112.7,119,19.16,217.7,18.5,6.5,1,False.
148,0,0,0,181.5,121,30.86,218.4,18.56,8.5,1,False.
2265,0,1,31,278.0,88,47.26,253.2,21.52,8.7,0,False.
440,0,1,27,273.4,141,46.48,154.0,13.09,12.3,1,False.
1478,0,0,0,253.2,122,43.04,201.0,17.09,9.7,2,False.
2577,0,0,0,185.1,92,31.47,213.0,18.11,8.5,2,False.
701,0,0,0,139.4,95,23.7,159.1,13.52,7.7,0,False.
1256,0,0,0,162.8,65,27.68,185.0,15.73,6.0,2,False.
3288,0,0,0,109.5,105,18.62,286.1,24.32,4.9,1,False.
1732,0,1,43,121.1,105,20.59,260.2,22.12,8.3,3,False.
1176,0,0,0,193.2,89,32.84,194.4,16.52,9.7,4,False.
2671,0,0,0,140.5,92,23.89,186.8,15.88,9.5,2,False.
3281,0,0,0,185.0,122,31.45,182.5,15.51,5.1,1,False.
2802,0,0,0,117.3,114,19.94,208.7,17.74,14.4,2,False.
764,0,1,31,153.5,83,26.1,219.1,18.62,11.4,0,False.
3274,0,0,0,207.7,109,35.31,217.5,18.49,8.0,1,False.
1107,0,1,29,179.9,97,30.58,189.2,16.08,12.8,3,False.
534,0,0,0,310.4,97,52.77,66.5,5.65,9.2,4,False.
1877,1,0,0,221.0,115,37.57,165.4,14.06,9.7,1,False.
50,0,0,0,191.9,108,32.62,269.8,22.93,7.8,3,False.
208,0,0,0,213.9,95,36.36,151.9,12.91,12.2,3,False.
2328,0,0,0,168.3,96,28.61,87.6,7.45,8.4,1,False.
2214,0,0,0,175.9,111,29.9,285.2,24.24,13.0,1,False.
2844,0,0,0,173.4,100,29.48,213.7,18.16,11.5,1,False.
1570,0,0,0,167.6,100,28.49,154.5,13.13,17.3,2,False.
1835,0,1,37,185.4,87,31.52,178.5,15.17,8.0,4,False.
3068,0,1,21,160.6,85,27.3,223.1,18.96,9.5,2,False.
2145,0,0,0,193.7,108,32.93,183.2,15.57,10.8,1,False.
1938,0,1,30,128.5,86,21.85,188.4,16.01,6.8,1,False.
2804,0,0,0,82.6,105,14.04,204.0,17.34,9.1,1,False.
2066,0,1,26,170.4,91,28.97,254.5,21.63,15.1,0,False.
1252,0,0,0,229.3,93,38.98,184.5,15.68,8.8,2,False.
1464,0,0,0,183.4,85,31.18,237.6,20.2,9.0,3,False.
980,0,0,0,188.9,94,32.11,203.9,17.33,11.6,3,False.
2222,0,1,24,176.1,109,29.94,159.4,13.55,12.1,0,False.
1332,0,1,32,247.0,109,41.99,125.6,10.68,10.5,3,False.
419,0,0,0,184.1,98,31.3,327.0,27.8,7.5,2,False.
1620,0,1,35,224.0,102,38.08,192.0,16.32,9.6,0,False.
2014,0,0,0,184.5,81,31.37,172.0,14.62,13.7,3,False.
2689,0,0,0,177.9,83,30.24,167.3,14.22,15.2,0,False.
1194,0,0,0,188.4,63,32.03,165.9,14.1,13.2,1,False.
576,0,0,0,201.9,74,34.32,226.8,19.28,13.7,3,False.
1082,0,0,0,215.6,115,36.65,216.2,18.38,11.8,3,False.
3083,0,0,0,235.5,108,40.04,142.3,12.1,12.5,0,False.
1060,0,0,0,193.0,97,32.81,89.8,7.63,15.3,1,False.
1267,0,0,0,166.2,112,28.25,255.3,21.7,5.4,1,False.
3257,0,0,0,137.5,110,23.38,198.1,16.84,13.3,2,False.
453,0,1,20,198.9,77,33.81,274.0,23.29,14.3,1,False.
7,1,0,0,157.0,79,26.69,103.1,8.76,7.1,0,False.
2359,0,1,31,115.4,90,19.62,217.4,18.48,13.1,1,False.
1282,0,0,0,229.4,107,39.0,214.1,18.2,10.4,4,False.
2705,0,0,0,253.2,89,43.04,237.9,20.22,9.7,4,False.
767,0,1,26,244.9,150,41.63,118.0,10.03,15.2,2,False.
853,0,0,0,134.7,96,22.9,235.9,20.05,7.6,3,False.
287,0,0,0,205.9,88,35.0,209.3,17.79,14.5,2,False.
1330,0,1,29,151.1,121,25.69,244.7,20.8,13.8,2,False.
2698,0,0,0,175.8,89,29.89,274.3,23.32,12.4,1,False.
2826,0,0,0,187.9,110,31.94,200.5,17.04,10.2,2,False.
2131,0,1,31,142.1,77,24.16,193.0,16.41,11.0,1,False.
2171,0,0,0,182.1,89,30.96,211.5,17.98,6.8,1,False.
1469,0,1,27,218.7,79,37.18,163.4,13.89,15.0,0,False.
2252,0,0,0,17.6,121,2.99,161.7,13.74,10.6,1,False.
593,0,1,29,207.2,111,35.22,254.1,21.6,9.5,2,False.
1994,0,0,0,169.5,96,28.82,157.6,13.4,10.6,0,False.
2986,0,1,12,188.0,105,31.96,151.3,12.86,10.5,2,False.
2261,0,0,0,210.9,85,35.85,329.3,27.99,9.4,4,False.
